번호,기업명,고객 세그먼트,점수,가치제안,점수,마케팅 채널,점수,고객관계,점수,수익원,점수,핵심활동,점수,핵심자원,점수,핵심파트너,점수,비용구조,점수
11,㈜와트로직,"전자제품 제조사
전자제품 S/W 개발사
전자부품 대리점, 전자부품 유통사",C,"고객이 요구하는 기술 및 품질 달성
제품개발을 통한 제품의 기술추이 분석 및 선도기술 개발
제품개발 고도화를 통한 Set 경쟁력 확보",C,"자체 영업 및 마케팅을 통한 Promotion
홈페이지를 통한 상담 및 협의
기존 거래업체와 개인의 WOM(word of mouth)
협력업체의 대행 Promotion",A,"보유기술과 개발경험의 Strong Point 홍보
타사 대비 당사의 제품경쟁력 홍보
제품개발의 경쟁력(개발 납기,개발비,A/S) 홍보",C,"반도체 부품 유통 margin
제품 개발에 따른 개발비
Board(Solution business) 생산 및 공급에 따른 module 판매
판매장려금",A,"기술영업이 가능한 영업인력의 전략적 Promotion 및 고객관리
기술영업 인력의 선제적 지원을 통한 고객지원 향상
연구소 개발견적의 적정성을 통한 고객 가치 향상
연구소 엔지니어의 기술 다양성 확보를 통한 고객 대응력 강화
개발 납기 및 제품공급 납기 준수를 통한 고객신뢰 확보",A,"현재 기술의 최적화 및 향후 기술추이를 탐색하는 엔지니어의 선도적 기술확보
거래선 연구소 및 엔지니어를 대상으로 Promotion을 추진하는 기술영업의 인적자원
H/W와 S/W 그리고 Power를 구성하는 Total solution 지원 능력
필요기술을 확보하여 협력할 수 있는 다양한 기술파트너 체제구축",A,"반도체 공급 메이커(삼성전자,텔레칩스,리틀퓨즈,어보브,에이디칩스,Holtek,Axelite 등)
반도체 대리점(미래반도체,그린칩스,유니퀘스트 등)
반도체 유통 딜러
기술개발관련 협력사(H/W 개발사, Power단 개발사, Art work 협력사 등)",A,"인건비, 원자재비, 개발비, 설비투자비",C
12,케이세라믹,"건설사, 시행사
설비회사
리모델링을 원하는 주부나 가장
건축주",D,"가격대비 디자인이 얼마나 우수한가
품질이 얼마나 좋은가
제품공급은 원활하고 연속성이 있는가
하자보수는 가능하고 지속 가능한가",C,"건설사 방문 미팅
기존 고객을 통한 소개
개인 인맥을 통한 건축주 소개
온라인 광고(네이버 등 업종 조회)
오프라인 광고(지역 광고지)",A,"고객이 좋아할 만한 제품의 확보
정기적인 방문과 통화 등 인사를 통한 소통
현장방문 고객사의 담당자와의 소통으로 불만을 사전에 예방하는 것이 최선이 영업이다.",B,"현장 납품을 통한 수익
자재 구매비용 절감을 통한 이익 증대
전시장 내방 고객 매출",B,"시행업체 및 시공업체의 발굴
시행업체 및 시공업체의 인맥을 통한 정보 파악
제안서 작성 (다른 업체와의 차별성 홍보)
이업종 교류를 통한 건설사 소개받기 및 건물주 소개받기
이업종 자재 공급 업체를 통한 소개받기
원활한 자재 공급 및 현장의 니즈에 맞게 소리 없이 조용히 깔끔하게 
가격 저렴하고 일 잘하면 그냥 고객이 몰려와요",B,"고객을 편하게 응대할 수 있는 영업사원
기술적인 문제에 원활히 해답을 줄 수 있는 엔지니어
물류를 원활히 할 수 있는 물류 전문가
디자인적 감각으로 고객의 니즈를 만족시키는 코디네이터
창고 정리를 잘하는 정리 전문가가 악성 재고를 줄인다",C,"위생도기 및 타일 MAKER
물류회사 및 물류 운반자
건설사 및 현장소장",D,"인건비
사무실 임대료, 창고 임대료
차량유지비 및 관리비
물류비용
비 회수 채권
악성 재고",D
13,농업회사법인 하늘농가㈜,"학교급식실 영양사
친환경급식센터
식품제조회사 
반찬프랜차이즈
온라인쇼핑 주부",D,"국산농산물 자연 그대로의 가치제공
편리한 조리를 위한 전처리 농산물공급
메뉴별 사양별 고객의 주문에 의한 생산",C,"급식센터를 통한 주문
온라인쇼핑몰
공공기간 박람회 참가",D,"매 학기마다 단가표 급식실로 우편발송
채소를 이용한 새로운 메뉴 개발을 소개한다 
24시간 긴급발주 가능하게 소통한다",C,"급식센터 판매대금
홈쇼핑 수출 온라인판매 대금",C,"학교급식센터 납품선정을 위한 평가표 이상 없도록 원산지 이력관리, 위생관리, 식품위생법, 품질관리를 잘 한다",C,"나물류의 다양한 품목
전국 계약재배 농가
숙련된 생산인력의 노하우
경기도의 공장 소재지로 서울, 경기지역 학교급식실 1시간내 긴급발주 가능",E,"계약재배 농가, 원물공급업체
물류회사, ERP 프로그램회사",D,"인건비, 부자재비, 홍보비, 물류비용
기기설비투자비, 상품개발비, 
일반관리비
건물 및 기계 감가상각비",C
14,프라임텍㈜,"신규사업으로 삼성디스플레이, 미국 Qualcom등에 영업 진행하고 있음. ",B,"2001년 창업하여 반도체와 IT분야에 제조공정별 테스트 소켓 사업을 20년동안해오면서 다양한 기술노하우와 특허를 보유하고 있으며, 특히 휴대폰의 카메라성능이 고도화되고있으며, 제조공정이
인라인자동화로 생산하므로 자사의 다양한 Auto Socket 설계 및 제조기술이 전제 제조공정에 많은 수율을 좌우하므로 지속적인 신제품개발 수요가발생함. ",A,"기술 IT제조업은 BTB이므로 고객의 영업 및 개발정보가 굉장히 보안이 필요하므로 딱히 마케팅이 필요 없으며, 이미 업체등록이 된 협력사와 신제품개발하고, 제품출하전 보통1년~1년반전에 독점으로 개발NDA맺고 시작 진행하므로 고객의 생산공장이 있는 지역에 개발 영업 및 현지 제품C/S대응이 매우 중요함.",B,"항상 타경쟁사보다 기술적인 우위를 점할 수 있는 진보된 특허기술 개발을 목표로 하고 있으며, 현지에 제조 공장 및 현지생산 C/S대응으로 타사와 차별화된 소통방식으로 영업을 진행하고 있음. ",B,다양한 고객의 개발요청한 제품을 제조 및 납품함.,D,4번질문에 대한 답변과 동일함,E,상기 답변으로 대체함.,E,회사영업기밀로 협력사 실명이나 회사거래처를 오픈할 수 없음,E,상기답변으로 대체함.,E
15,㈜로랜아이,"Off line상: 대규모 특판(선물구매) 거래 업체 : 제조 직군이 많은 업체 , 봉사활동을 많이 하는 단체(라이온스, 로타리 클럽 등) 대규모 종교단체 영락교회, 영동교회
online상: 전자상거래상 매출 위주 : 기존의 상거래 망을 유지하면서, 향후 나라장터에 제품 공급",D,"당사는 유통업을 기반으로 하는 회사로 국가기관으로부터 품질인증을 받은 제품을 우선적으로 취급합니다.
최근의 고객들의 제품에 대한 NEEDS는 구매한 제품의 빠른 획득과 가성비를 중요시하기에 가격적인 측면의 경쟁 우위에 신경을 쓰고 있습니다.",A,"OFF LINE 영업은 타켓 회사에 당사의 제품군을 소개하면, 타켓 회사에 대해서는 인맥 등을 동원한 관계 영업을 합니다.
ON LINE영업은 제품군별 제품REVIEW등의 SNS홍보를 하고 있으며, 제품군별 다양한 PACKAGE구성을 하여 ONLINE 상에서의 나눌 점유율을 높이는 활동을 합니다",C,"비즈니스 모임 등에 회사 홍보를 하고(예, BNI, 동문회 BUSINESS BAND를 만들어서 상호 교류)
온라인 상의 반복 구매 고객의 고정 고객화 작업.
밴드, 카톡방에 지속적인 제품 소개 ",B,"가장 큰 매출은 쇼핑몰을 통한 해양심층수가 크고, 이익율 측면에서는 특판을 통한 대량 납품과 전자상거래 꽃배달의 수익율이 좋음",B,"유통회사의 생존의 기본은 품질 좋은 상품의 지속적인 발굴을 통해서 제품이 보편화 되기전에 고부가로
 판매를 하는 것이 핵심. 계속적인 제품 소싱과 현재 제품의 다양한 패키지화를 함.
마켓팅 비용의 절감을 위하여 지속적으로 비즈니스 관련된 모임, 회의 등에 참석하여 인적네트워크를 통한
 관계망 형성으로 판매의 성공율을 높이는데 주력하면서 비즈니스 방향도 B TO C에서 B TO B로의 확대에 관심을 두고 활동.",B,"전문 소싱 능력이 중요합니다. 온라인 판매상 고객이 필요시 적기에 제품을 공급하는 것이 중요합니다.
인터넷 쇼핑몰운영자의 시장 분석 능력입니다. 즉, 경쟁사 제품들의 판매추이를 파악하여 신속하게 프로모션 대응하는 전략가가 필요합니다.
특화된 제품을 만들고 고객에게 홍보에 주력(예, 태양을 담은 김치김치가 많지만 새로운 브랜드로 고객의 호기심을 자극하여 맛을 볼 수 있도록 유도)",E,"open 마켓(11번가, 쿠팡, 네이버 인터파크, G마켓 등)
대형교회 봉사부서 담당, 이웃돕기를 실행하는 단체(로타리 클럽, 기업봉사단체)",A,"인건비, 광고비, 택배(물류비), 포장재료비
사무실 임대료
통신, 서버사용료
컴퓨터 등의 감가상각비
인건비 인건",B
16,케이비즈넷,"중소기업/매출액 100억이하(여신금지,제한업종 제외)",D,"중소기업 재무분석을 통한 재무컨설팅
운전자금,시설자금,유동자금,악성부채의 대환 등 중장기적인 관점에서 자금운용 계획수립 제안 및 자금조달 프로세스 자문
각종 인증 및 손익분석을 통한 기업가치 향상/Value up 자문
계속기업 영위 및 경영리스크 헷지 차원에서 경영자 은퇴 및 가업승계, M&A 등 제안/자문",A,"대면 영업을 통한 고객 발굴
업무제휴(보험판매대리점,경영컨설팅업체 등)를 통한 고객 소개
거래 기업체의 소개
블로그 등 SNS를 통한 고객 창출
지인 및 소개영업 마케팅 등",B,"자금수요업체의 발굴,소개영업
거래업체의 동업종 업체 소개
각종 세미나 및 교육 참가를 통한 참석자 네트웍 활용/소개
블로그 운영",C,경영컨설팅 수수료,E,"중소기업 재무분석
중소기업 자금조달 계획 및 조달프로세스 제안
각종 인증서 신규 및 발급
기업부설연구소 설립 및 관리
정부지원금 신청내용 및 절차 지도
창업자 사업계획서 지도",B,"금융권 경험 및 중소기업 경영컨설팅 사례
다양한 업종의 중소기업 창업 및 운영 지도를 통한 간접적인 사업경험
창업자 지도 및 아이디어 사례 경험과 초기 창업자의 다양한 성공 실패사례 체험
중소기업의 환경에 맞는 맞춤형 경영/자금조달 지도 경험",E,"중소기업(제조업, 도소매업, 서비스업)
금융기관, 경영컨설팅 업체",B,"영업활동비
광고 및 홍보비, 영업비, 사무실 임대료",C
17,IMG 미디어,"전세계 모든 기업
IMG Media는 현재 올림픽 등 주요 방송 제작을 맡아오고 있으며, 골프, 테니스, UFC 등 스포츠분야, 라이센스, 아카데미 등 부서에서는 다양한 후원사들과 연계되어 업무를 진행하고 있습니다.
선수
유망가능성이 있는 선수를 육성하고 있으며,
나달, 정현, 펑샨샨, 아리야&모리야 주타누칸 등 유명 선수들을 관리합니다. ",B,"신뢰를 바탕으로 한 관계유지를 통해 Win-Win 구조의 수익 창출
후원사의 브랜드 노출 효과 극대",D,"TV 노출
개인 인맥 ",D,"각 나라의 정부 지자체, 방송국, 다양한 후원사들의 니즈를 종합하여 만족할 수 있는 결과를 도출
ex) 후원사 – 브랜드 노출, 매출 상승 기대
   지자체 – 지자체 국제 인지도 상승 및 홍보, 관광객 유입 유도
선수들과의 지속적인 커뮤니케이션",C,"Management Fee
License Fee
Production cost",C,"IMG 자체가 브랜드로써 후원사들의 신뢰를 받고 있으며, 자체 연계되어 있는 타 그룹들을 후원사들에게 소개해주고 추가적인 베네핏을 받을 수 있는 기회를 제공합니다.",D,"세계 최고의 스포츠 기업으로서 긴 역사의 경험을 통한 서비스 제공
미국 싱가포르 중국 일본 영국 말레이시아 한국 등 다양한 지사들의 지속적인 커뮤니케이션 및 협업을 통한 빠른 업무진행",E,"IMG-KOREA의 경우
BMW, 신한은행, JTBC, SK, 부산시, 인천시
Jeep, Arnold Palmer, Jack Nicklaus, 분데스리가, NFL, Pepsi
Haribo, Sesame street 외 다수",A,"인건비
영업비",E
18,창대화학㈜,"수지, 페인트/도료, 점/접착제, 잉크, 우레탄 제조 업체",C,"타 사 대비 저렴한 원가로 공급 및 원하는 납기 일정에 맞춘 공급
신규 개발관련 신규 원료 추천 및 기술 영업",D,자체 영업조직에서 개별 영업,E,타 업체 대비 빠르고 정확한 원료 시황 정보 전달 및 필요한 원료 수배 요청에 신속한 대응,C,"원료 물품대
수입 및 오퍼 관련 수수료",C,기존 사용 원료 대비 저렴한 원가 및 풍부한 물성이 나오는 제품 추천 및 발굴,C,"정확한 원료 시황 파악 및 업체에서 원하는 물성을 찾을 수 있도록 추천 할 수 있는 다양한 원료 지식 
신규 제조업체 및 시장 발굴",E,"수지, 페인트/도료, 점/접착제, 잉크, 우레탄 제조 업체 ",D,"원료 물품대
인건비
물류비용",E
19,㈜IR CERAMIC,"건축자재 특히 타일 도,소매점",D,"집중화(규격, 종류)를 통한 원가인하와 관리비용 절감
예측 가능하고 상시 재고확보로 지속가능한 구매력 확보
비회전제품의 조기 퇴출과 신제품 개발을 통한 고객확보
신속한 출고 시스템 정립으로 이미지 제고",B,"기존 거래업체와 신규 도, 소매점 직접 방문 영업
직, 간접 방문을 통한 샘플 및 단가정보 제공
업체 방문 시 매장정리와 좋은 위치 선점",C,"지속적인 방문을 통한 교감
건축자재 시장정보 제공
신속한 출고로 회사 이미지 제고",C,"판매 대금 수령
구매업체와의 협상을 통한 원가인하후 판매 마진",C,"타일 트렌드 정보 획득을 위한 시장조사 (해외출장 및 국내시장)
시공자가 선호하는 경향파악(타일규격 및 부자재 등)
수입원(중국 및 국내제조사)의 정책방향 파악 (단가정책 및 생산가능 제품 등)
영업력 증대를 위한 직원교육 (타일전문지식 및 건축경기 동향 등 시장흐름)",A,"물류비용 절감 (시내위치)
소품종, 대량재고 확보로 예측가능한 구매력확보
대량구매로 단가 경쟁력 확보
신속 출하 시스템으로 회사 이미지 제고
친절 응대로 만족도 향상",D,"공급원 (중국 및 국내제조사)
수입업자(포워딩)
관세사 
물류회사",D,"인건비, 임대료
차량유지비
샘플비 (판촉)
출장비, 차량유지비, 여비 숙박비, 식비, 선물대
소모품비(창고운용에 필요한 수리비, 잡자재 등)
하자보수비(타일대금, 운반비 또는 인건비)
전산관리비
문구비",D
20,현대중공업파워시스템,"발전소 건설회사
발전소를 운영하고 있는 발전자회사 (동서, 남동, 서부, 남부, 중부발전 등)
보일러를 운영중인 산업단지 Utility 회사
선박 신조 및 개조 회사",B,"고객의 요구조건에 맞는 가격 경쟁력 및 고품질의 보일러 혹은 탈황시설 공급
보일러 혹은 환경설비 (탈황시설 포함) 의 고객 예산내 경쟁력 있는 설치 시공",C,"고객의 공급 업체 리스트에 등록을 통한 견적 제출 기회 창출
공식 입찰공고를 통한 입찰 참여
기존의 만족할 만한 공급 실적을 통한 고객들의 자발적인 견적 요청
고객의 문제점을 기술적 해결점을 제시해 줌으로서 실제 해결공사 참여",A,"각 고객별 담당자를 선정하여 실무적으로 정기적인 접촉을 통한 고객의 니즈를 사전 확인
경영층간의 긍정적인 유대관계 유지
국내 국책 연구원 (한국에너지기술연구원, 생산기술연구원, 기계기술연구원, 전자부품연구원 등) 과의 신 기술 국책과제 수행을 통한 회사 이미지 제고",A,"제품 (보일러 및 환경설비) 판매 및 공사비 수익
설치공사 수행을 통한 공사비 수익
문제점 해결 방안을 찾아 제시하는 설계 서비스 제공 수익",B,"제품 공급 기회 확보 및 경쟁적인 견적 제출
설치 공사 기회 확보 및 경쟁적인 견적 제출
노후화된 시설을 보유하고 있는 고객을 방문하여 성능 개선 혹은 문제점 해결 방안 작성 제시",B,"보일러 및 탈황설비의 전문지식을 보유한 설계 및 설치 엔지니어
중국에 합작법인으로 설립한 가격경쟁력 및 고품질의 제작 설비",C,"상세 설계 하청 협력사
중국제작 불가 제품에 대한 국내 제작 협력사",D,"재료비 (제작 포함) 약 70%
인건비 약 20%
사무실 및 기타 약 10%",E
21,아트에이브이주식회사,"음향,영상을 필요로 하는 수요처로서 모든 지자체와 정부기관
공공건축물을 비롯한 모든 건설현장에서 기전팀을 포함한 건설사
방송장비를 필요로 하는 전기공사업체 및  통신공사업체
음향, 영상장비를 필요로 하는 모든 종교시설",C,"“소리에 감동을 전하고 세상의 모든 소리를 더욱 아름답게~”
믿을 수 있는 신뢰성을 바탕으로 고객의 니즈에 가장 적합한 음향 설계 및 전문 시공
디테일한 부분까지 신경 쓰는 세심한 시공과 손쉬운 사용과 우수한 호환성을 위한 운영 사용자의 전문적인 교육",C,"공공 조달 시장 (조달 우수업체 등록을 통한 조달시장 공략)
수의 계약 시장 (각 지자체에서의 물품관련한 수의계약 시장 공략)
온, 오프 라인 시장 (방송장비의 온라인 판매와 오프라인에서의 위탁 매장 운영)",A,"영업부에서 관공서, 건설사, 전기 설계사무소 등 목표고객에게 정기적인 기술적 장점 홍보
정기적인 사후관리를 통한 고객 장비교육",C,"수의계약을 통한 납품 대금 수령
조달청 다수간 업체 게약을 통한 납품 대금 수령
경쟁입찰을 통한 계약으로 납품 대금 수령
동종업체에게 자사 방송장비 단품 판매 수익
음향 설계(음향 시뮬레이션)를 통한 음향 컨설팅비용",A,"방송장비 제품 개발(시스템과 소프트웨어 개발)로 조달 시장에서의 선점 효과를 노림
Operation Instalation (제작, 설치 ,운영, 교육, A/S)을 통해 고객과 지속적인 관계를 갖음 ",C,"방송시스템 전문지식을 바탕으로 설계능력과 협상력을 갖춘 영업팀
방송장비 전문성을 만들고 기술의 원천인 지적 재산권을 끊임없이 연구하는 부설 기술연구소
효율적인 발주(장비및 시공업체선정)를 위한 외주구매팀",D,"방송시스템을 시공 할 수 있는 능력을 갖춘 시공소장과 기술자
단순조립을 위한 외주 생산업체
자사 생산하지 않는 제품에 대한 통신 장비 납품 업체
음향장비와 영상장비 수입업체",D,"방송장비 시스템 개발 비용( 연구소에서 필요한 설비투자 포함)
제품 생산비용 (외주생산비 포함)
외주 시공회사와 외주 기술자비용
영업비용, 운영비",C
22,㈜에스에이치론빌,주택 소유 사업자,D,신뢰를 바탕으로 한 고객 만족 및 감동,E,온라인 통합 및 자체영업조직에서 개별 영업,C,"온라인 마케팅,
지인 소개
부동산 중개업소 및 보험대리점 설계사를통한 고객확보",C,대출중개를 통한 금융사 중개수수료 ,E,"고객의 니즈를 정확히 파악, 대출한도 및 금리등 고객 맞춤 서비스
신규고객 창출을 위한 꾸준한 홍보활동 및 직원들의 전문성 강화",C,"전문지식을 갖춘 대출상담사등 인적자원 확보
대표자의 전문성으로 강한 리더쉽 ",E,"보험대리점, 각 은행의 대출 상담사 조직,",E,"광고 홍보비
인건비
사무실 임대료등",C
23,㈜서장,"현대모비스 인천사업소내 부품 창고 물류 대행
현대차, 기아차, 인천 광역시권 A/S 부품 공급망 부품 공급(부품대리점, 전문점, 판촉점 등)",C,부품 주문에 따른 적시 공급을 위해 부품 창고 재고의 입출고 프로세스의 신속한 진행 및 배송,E,"원청업체를 통한 정확하고 신속한 배송 모니텅링
대리점 등 부품 공급망 배송 및 물품하자 도착 방지를 위한 오프라인 협의 운영",E,"부품 대리점 등 공급망에서의 요청에 의거, 효율적 재고관리를 통한 신속 정확한 입출하 공정 운영으로 고객만족 극대화",C,매달 부품취급 처리건수를 통한 다도급비 수령,D,"적기 공급을 위한 창고운영 노하우를 극대화
적절한 인원 운영을 통한 효육극대화
재고관리, 입출고 배송 관리의 효율화를 위한 현장 직원 역량 강화",C,"재고관리 물류관리의 역량강화
고객의 니즈를 신속 정확하게 처리하기 위한 인원과 설비를 효율적으로 운영하기 위한 노하우 및 역량 업그레이드",D,"현대모비스 인천 사업소
현대차 기아차 A/S 부품 공급망 및 부품 대리점
현대모비스 지정 전문점 및 판촉공급망",A,"직원 급여, 인건비, 복리후생비
사무실임대료, 설비감가상각비",E
24,주식회사 지지엠,"종합건설사, 전문건설사, 유통사",C,"적기 적소에 안정적으로 제품을 공급함으로써 신뢰를 구축하고, 메이커에게는 물량확보를 객사에는 경쟁력 있는 가격을 이라는 윈윈의 관계구축의 가교 ",D,"목표고객에게 입찰참가
개인인맥을 통한 수의계약 유도 영업
무작위 방문판매 영업",C,"경쟁력 있는 가격으로 제품 공급
제품 품귀시 우선적 공급으로 신뢰 구축
인맥을 통한 소개 영업
적기적소에 최신 정보를 제공함으로써 신뢰 구축
메이커와의 연계 영업을 통한 현장의 불편함 제거",C,"자재공급을 통한 자재대금 수령
메이커와의 협상을 통한 매입 가격의 네고
일정 제품(특수)의 판매를 통한 메이커의 인센티브 수령",B,"기존고객 : 신규현장 파악 및 현장 선도적 방문 영업,  
협력업체 지속적 유지를 위한 활동 및 프로젝트별 입찰참가
신규고객 : 인맥 및 무작위 방문 영업
메이커의 신제품 개발시 메이커와 기존 및 신규 거래선 공동영업 : 공기절감, 친환경요소등
신규 아이템 지속적 개발",C,"방대한 인맥을 보유한 영업팀
시장의 변화에 선도적으로 대응 가능한 경영진
현장별 크레임 대응능력 우수한 영업관리팀",E,"건설사 구매부서
필요제품 생산하는 메이커
제품 운송하는 물류회사
유통사",C,"인건비, 재료비, 판매관리비",E
25,㈜지코빌,"대형 건설사
호텔 및 레저시설 인테리어 디자인사
LH/SH공사
해외 수입상
아마존을 포함한 이커머스를 통한 B2C 시장",B,"상호 신뢰관계를 기본으로 지속 가능 제품 공급
고객 니즈를 만족하고 새로운 트렌디에 적합한 디자인 제품 개발 공급
제품의 신기능을 적용 고객에게 부가가치를 제공 할 수 있는 제품 개발 공급",D,"건설사 및 LH/SH공사 직접 영업을 통한 제안 입찰 참여 
인테리어 디자인회사를 통한 제안 입찰 참여",B,"건설사 상품팀 및 기전팀 직접 기술영업 또는 상품위원회 제안 형식 
LH/SH공사 신제품 및 신기술 제안 영업",D,경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령,C,"모델하우스 및 리모델링 사전 영업을 통한 주택 욕실 설계 제안
설계 반영을 위한 도면을 건설사, 설계사무소, 시행사 제안 영업
당사 영업팀에서 파악한 고객 니즈를 제품개발팀에서 기술 개발을 진행하여 특허 등록
기존 거래를 하고 있는 목표고객에서 신규 프로젝트 진행에 필요한 협의 요청시 당사 영업팀에서 대응 활동",B,"다년간의 제품 연구개발 경험과 적기에 대량 물량을 공급할 수 있는 생산능력 확보 
전문지식을 보유한 업계 최상위 기술영업팀 보유",D,"건설사 상품개발 부서 및 기술부서, 구매부서
인테리어 디자인회사 설계팀",C,"자재비
노무비
시공비
외주비
설비투자 및 기술개발비",E
26,㈜마세다린,"음식 섭취가 가능한 전국민 모두
인테리어 시공사
신규창업 예정자(정년퇴직 및 이직예정자)
육가공 및 소스류 제조업체
포장지 생산업체
배송전문 업체
점포개발 전문가
광고홍보 업체",B,"빠르고 넓게 다양하게 변화하는 외식문화에 신 먹거리 
소 가족화 돼 사회의 이기적 개인플래이 소비성향으로 변화
외부환경 (질병,기후,교통수단)등 변화에 따른 소비트랜드 변화
외식과 펀이 동반한 소비변화등을 감안 빠르고 안전하고 즐거움이 동반한 
 먹거리시장 조성
신규창업주 와 직원 협력업체등은 믿음으로 신뢰하고 끝까지 가족이란 개념으로 동반성장을 기본 원칙으로한다.",A,"첫째는 점주와 직원이 광고판이다.
 가족에게 인정받지 못한 기업제품이 과연 믿고 살수있을까?
두번짼 제품이다. 소비자가 외면한 제품을 돈으로만 해결하려는 광고 홍보를
 신뢰할수 잇을까?
세번째는 발빠르고 앞선 전략을 인터넷을 활용한 마켓팅(비용대비 효과가 매우큼)
넷짼 포장지(봉투,박스)을 활용(처음 재작비용만 지출)
등을 활용하고 지속적잉 사회봉사 기부문화 사회환원을 실천하여 기업이미지 up",D,"고객의 니즈와 원트를 빠르게 파악하여 고객과 점주의 만족도 상승
고객에게 지속적인 포인트 적립으로 충성고객 확보
인테넷과 홈페이지를 이용한 번개 이벤트행사
안정된 점포개발로 점주의 안정적 수익 보장
트랜드에 맞는 인테리어 시공으로 고객에 음식만 소비하는 공간이 아닌 펀이 동반된 매장시공",A,"신규점포 개발로인한 수익
물류제조 및 납품으로의 수익
공산품 대납으로의 수익",B,"안정적이며 지속적인 매장관리를 통해 고정적 보장 수익금 발생으로 고생한 만큼 보상 받는다는
 인식을 심어줘 신규점주 소개 또는 관심대상 창출을 기대,
지속적인 신메뉴 개발로 노력하고 앞서가는 브랜드로 인식
메뉴개발로 인한 지속적 원가절감으로 본사나 가맹점 모두 수익금 up
정년퇴직 및 직업전환 예정자를 지속적인 사업설명회나 광고로 신규매장 창출",B,"메뉴개발 조리사,인테리어 디자인너,점포개발 전문가,점포관리 전문가
시장변화를 빠르게 읽어내는 전문가,신규창업 영업상담 전문가,직원&점주 교육전문가등
 각기의 위치에서 전문성을 기본으로 시장과 환경 트랜드 변화에 빠르게 적응
 점목하여 치킨시장에 선두주자가 되자.",E,"육가공 업체,포장지 제조업체,운송업체,인테리어 시공업체
서버관리 업체,점포개발 업체,간판시공 업체,샷시 시공업체
주류 음료납품 업체,",D,"인건비,제조비,냉장동 관리비,물류비,광고비
 마케팅비,설비 투자비,메뉴연구 개발비
건물,공장,기계 감가상각비
운영비,데이터 서버운영비,차량 관리비 및 운영비",A
27,㈜스노우피크코리아,"매월 정기적인 판매가 가능한 기업
부정기적인 대량물량, 시즌에 물량이 집중되는 것은 바람직하지 않음 
지역별, 상권별 우량 점포
자본력, 점포 규모, 판매력, 마케팅 능력 등을 보유
캠핑을 취미로 프리미엄 캠핑 브랜드를 이용하고자 하는 해비 유저
당사의 강점은 고품질, 브랜드 파워, 디자인, 고객 소통 능력 등",B,"시장을 선도하는 혁신 제품의 개발
우수한 제품 품질과 디자인
고객과의 지속적인 소통과 관계 유지를 통한 신뢰 확보  
브랜드 로열티
프리미엄 브랜드 가치",B,"홈페이지 쇼핑몰
주요 고객사(목표고객) 직접영업
외부 미디어 채널
SNS, 블로그, Youtube",A,"고객사의 요청시 영업 방문
업계를 선도하는 혁신적인 신제품 제안
SNS 등을 활용하여 신속한 커뮤니케이션
타사와 차별화되는 오프라인 마케팅 
체험 가치 제안",B,캠핑 용품 납품을 통한 대금 수령,D,"품질관리 활동 : 생산, 제조업체 관리
브랜드 관리 : 오프라인 점포 컨셉 유지
       지속적인 콘텐츠 제작, 배포
CRM 활동 : 포인트 카드 제도 운영
로열 커스터머 특전 제공
지속적인 제품개발 : 신제품 개발 
신규고객 확보가 가능한 딜러 활용",A,"신제품 개발 능력
아웃도어, 캠핑 전문 판매자 집단
글로벌 프리미엄 브랜드 포지셔닝
차별화된 브랜드 철학과 이념",D,"제조사 : 경조 등
유통 : 신세계, 현대, 롯데 등",A,"상품매입비용
수입, 통관, 검사 비용
배송 물류비
건물 및 인테리어 감가상각비
생산, 지원, 영업 인건비",D
